! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -7.607301346E+05   1.000000000E+00   0.000000000E+00   5.355837557E+03   1.350602176E+01   1.350602176E+01   3.741603729E+00   7.491143794E+00
  -7.587644236E+05   1.000000000E+00   0.000000000E+00   5.383378111E+03   1.349430607E+01   1.349430607E+01   3.748943802E+00   7.505863572E+00
  -7.567987127E+05   1.000000000E+00   0.000000000E+00   5.411060283E+03   1.348259633E+01   1.348259633E+01   3.756298274E+00   7.520612274E+00
  -7.548330018E+05   1.000000000E+00   0.000000000E+00   5.438884801E+03   1.347089272E+01   1.347089272E+01   3.763667174E+00   7.535389956E+00
  -7.528672908E+05   1.000000000E+00   0.000000000E+00   5.466852397E+03   1.345919539E+01   1.345919539E+01   3.771050530E+00   7.550196676E+00
  -7.509015799E+05   1.000000000E+00   0.000000000E+00   5.494963807E+03   1.344750452E+01   1.344750452E+01   3.778448370E+00   7.565032490E+00
  -7.489358689E+05   1.000000000E+00   0.000000000E+00   5.523219770E+03   1.343582028E+01   1.343582028E+01   3.785860722E+00   7.579897456E+00
  -7.469701580E+05   1.000000000E+00   0.000000000E+00   5.551621029E+03   1.342386126E+01   1.342386126E+01   3.793287616E+00   7.594791631E+00
  -7.450044470E+05   1.000000000E+00   0.000000000E+00   5.580168333E+03   1.341162699E+01   1.341162699E+01   3.800729080E+00   7.609715073E+00
  -7.430387361E+05   1.000000000E+00   0.000000000E+00   5.608862431E+03   1.339939646E+01   1.339939646E+01   3.808185141E+00   7.624667838E+00
  -7.410730252E+05   1.000000000E+00   0.000000000E+00   5.637704078E+03   1.338716975E+01   1.338716975E+01   3.815655830E+00   7.639649985E+00
  -7.391073142E+05   1.000000000E+00   0.000000000E+00   5.666694034E+03   1.337494695E+01   1.337494695E+01   3.823141174E+00   7.654661572E+00
  -7.371416033E+05   1.000000000E+00   0.000000000E+00   5.695833061E+03   1.336272814E+01   1.336272814E+01   3.830641203E+00   7.669702655E+00
  -7.351758923E+05   1.000000000E+00   0.000000000E+00   5.725121925E+03   1.335051340E+01   1.335051340E+01   3.838155945E+00   7.684773294E+00
  -7.332101814E+05   1.000000000E+00   0.000000000E+00   5.754561397E+03   1.333830283E+01   1.333830283E+01   3.845685428E+00   7.699873545E+00
  -7.312444705E+05   1.000000000E+00   0.000000000E+00   5.784152252E+03   1.332609651E+01   1.332609651E+01   3.853229683E+00   7.715003468E+00
  -7.292787595E+05   1.000000000E+00   0.000000000E+00   5.813895267E+03   1.331389452E+01   1.331389452E+01   3.860788737E+00   7.730163121E+00
  -7.273130486E+05   1.000000000E+00   0.000000000E+00   5.843791225E+03   1.330169696E+01   1.330169696E+01   3.868362621E+00   7.745352562E+00
  -7.253473376E+05   1.000000000E+00   0.000000000E+00   5.873840914E+03   1.328950390E+01   1.328950390E+01   3.875951362E+00   7.760571849E+00
