Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  5.8968125E+05  1.0000000E+04  9.6226535E+00  1.1979071E+01  6.1019718E+00
0.0000000E+00  5.9231754E+05  1.0000000E+04  9.6380111E+00  1.1976676E+01  6.1270166E+00
0.0000000E+00  5.9502028E+05  1.0000000E+04  9.6532787E+00  1.1974319E+01  6.1526926E+00
0.0000000E+00  5.9772301E+05  1.0000000E+04  9.6684347E+00  1.1972000E+01  6.1783686E+00
0.0000000E+00  6.0042575E+05  1.0000000E+04  9.6835143E+00  1.1969717E+01  6.2040446E+00
0.0000000E+00  6.0312848E+05  1.0000000E+04  9.6984817E+00  1.1967469E+01  6.2297206E+00
0.0000000E+00  6.0583122E+05  1.0000000E+04  9.7133313E+00  1.1965257E+01  6.2553966E+00
0.0000000E+00  6.0853395E+05  1.0000000E+04  9.7280594E+00  1.1963078E+01  6.2810725E+00
0.0000000E+00  6.1123669E+05  1.0000000E+04  9.7427026E+00  1.1960932E+01  6.3067485E+00
0.0000000E+00  6.1393942E+05  1.0000000E+04  9.7572792E+00  1.1958819E+01  6.3324245E+00
0.0000000E+00  6.1664216E+05  1.0000000E+04  9.7717272E+00  1.1956738E+01  6.3581005E+00
0.0000000E+00  6.1934489E+05  1.0000000E+04  9.7860446E+00  1.1954687E+01  6.3837765E+00
0.0000000E+00  6.2204763E+05  1.0000000E+04  9.8002311E+00  1.1952667E+01  6.4094524E+00
0.0000000E+00  6.2475036E+05  1.0000000E+04  9.8142868E+00  1.1950676E+01  6.4351284E+00
0.0000000E+00  6.2745309E+05  1.0000000E+04  9.8282158E+00  1.1948715E+01  6.4608044E+00
0.0000000E+00  6.3015583E+05  1.0000000E+04  9.8420165E+00  1.1946782E+01  6.4864804E+00
0.0000000E+00  6.3285857E+05  1.0000000E+04  9.8556885E+00  1.1944876E+01  6.5121564E+00
0.0000000E+00  6.3556130E+05  1.0000000E+04  9.8692331E+00  1.1942998E+01  6.5378324E+00
0.0000000E+00  6.3826403E+05  1.0000000E+04  9.8826514E+00  1.1941147E+01  6.5635083E+00
0.0000000E+00  6.4096677E+05  1.0000000E+04  9.8959449E+00  1.1939321E+01  6.5891843E+00
0.0000000E+00  6.4366950E+05  1.0000000E+04  9.9091151E+00  1.1937521E+01  6.6148603E+00
0.0000000E+00  6.4637224E+05  1.0000000E+04  9.9221635E+00  1.1935746E+01  6.6405363E+00
