! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  5.810E+05  1.000E+04  9.468E+00  1.201E+01  5.852E+00
0.000E+00  5.835E+05  1.000E+04  9.483E+00  1.200E+01  5.877E+00
0.000E+00  5.860E+05  1.000E+04  9.499E+00  1.200E+01  5.902E+00
0.000E+00  5.886E+05  1.000E+04  9.514E+00  1.200E+01  5.927E+00
0.000E+00  5.911E+05  1.000E+04  9.529E+00  1.199E+01  5.952E+00
0.000E+00  5.936E+05  1.000E+04  9.545E+00  1.199E+01  5.977E+00
0.000E+00  5.961E+05  1.000E+04  9.561E+00  1.199E+01  6.002E+00
0.000E+00  5.987E+05  1.000E+04  9.576E+00  1.199E+01  6.027E+00
0.000E+00  6.012E+05  1.000E+04  9.592E+00  1.198E+01  6.052E+00
0.000E+00  6.037E+05  1.000E+04  9.607E+00  1.198E+01  6.077E+00
0.000E+00  6.063E+05  1.000E+04  9.623E+00  1.198E+01  6.102E+00
0.000E+00  6.088E+05  1.000E+04  9.638E+00  1.198E+01  6.127E+00
0.000E+00  6.114E+05  1.000E+04  9.653E+00  1.197E+01  6.153E+00
0.000E+00  6.140E+05  1.000E+04  9.668E+00  1.197E+01  6.178E+00
0.000E+00  6.166E+05  1.000E+04  9.684E+00  1.197E+01  6.204E+00
0.000E+00  6.192E+05  1.000E+04  9.698E+00  1.197E+01  6.230E+00
0.000E+00  6.218E+05  1.000E+04  9.713E+00  1.197E+01  6.255E+00
0.000E+00  6.244E+05  1.000E+04  9.728E+00  1.196E+01  6.281E+00
0.000E+00  6.269E+05  1.000E+04  9.743E+00  1.196E+01  6.307E+00
0.000E+00  6.295E+05  1.000E+04  9.757E+00  1.196E+01  6.332E+00
0.000E+00  6.321E+05  1.000E+04  9.772E+00  1.196E+01  6.358E+00
0.000E+00  6.347E+05  1.000E+04  9.786E+00  1.195E+01  6.384E+00
0.000E+00  6.373E+05  1.000E+04  9.800E+00  1.195E+01  6.409E+00
0.000E+00  6.399E+05  1.000E+04  9.814E+00  1.195E+01  6.435E+00
0.000E+00  6.425E+05  1.000E+04  9.828E+00  1.195E+01  6.461E+00
0.000E+00  6.451E+05  1.000E+04  9.842E+00  1.195E+01  6.486E+00
0.000E+00  6.477E+05  1.000E+04  9.856E+00  1.194E+01  6.512E+00
0.000E+00  6.503E+05  1.000E+04  9.869E+00  1.194E+01  6.538E+00
0.000E+00  6.529E+05  1.000E+04  9.883E+00  1.194E+01  6.564E+00
0.000E+00  6.555E+05  1.000E+04  9.896E+00  1.194E+01  6.589E+00
0.000E+00  6.581E+05  1.000E+04  9.909E+00  1.194E+01  6.615E+00
0.000E+00  6.607E+05  1.000E+04  9.922E+00  1.194E+01  6.641E+00
0.000E+00  6.633E+05  1.000E+04  9.935E+00  1.193E+01  6.666E+00
0.000E+00  6.658E+05  1.000E+04  9.948E+00  1.193E+01  6.692E+00
0.000E+00  6.684E+05  1.000E+04  9.960E+00  1.193E+01  6.718E+00
0.000E+00  6.710E+05  1.000E+04  9.973E+00  1.193E+01  6.743E+00
0.000E+00  6.736E+05  1.000E+04  9.985E+00  1.193E+01  6.769E+00
0.000E+00  6.762E+05  1.000E+04  9.997E+00  1.193E+01  6.795E+00
0.000E+00  6.788E+05  1.000E+04  1.001E+01  1.192E+01  6.820E+00
0.000E+00  6.814E+05  1.000E+04  1.002E+01  1.192E+01  6.846E+00
0.000E+00  6.840E+05  1.000E+04  1.003E+01  1.192E+01  6.872E+00
0.000E+00  6.866E+05  1.000E+04  1.004E+01  1.192E+01  6.897E+00
0.000E+00  6.892E+05  1.000E+04  1.006E+01  1.192E+01  6.923E+00
0.000E+00  6.918E+05  1.000E+04  1.007E+01  1.192E+01  6.949E+00
0.000E+00  6.944E+05  1.000E+04  1.008E+01  1.192E+01  6.974E+00
0.000E+00  6.970E+05  1.000E+04  1.009E+01  1.191E+01  7.000E+00
0.000E+00  6.996E+05  1.000E+04  1.010E+01  1.191E+01  7.026E+00
0.000E+00  7.021E+05  1.000E+04  1.011E+01  1.191E+01  7.051E+00
0.000E+00  7.047E+05  1.000E+04  1.012E+01  1.191E+01  7.077E+00
0.000E+00  7.073E+05  1.000E+04  1.013E+01  1.191E+01  7.103E+00
0.000E+00  7.099E+05  1.000E+04  1.015E+01  1.191E+01  7.128E+00
0.000E+00  7.125E+05  1.000E+04  1.016E+01  1.191E+01  7.154E+00
